city,lat,code,lon,people
Kiacatoo,-33.043432,12114,146.831621,27
Bobin,-31.726021,10427,152.283882,155
Adaminaby,-36.029411,10015,148.701954,301
Bogan,-33.106229,10437,147.802354,11
Crudine,-32.939577,11136,149.700948,65
Oxley Park,-33.771261,13110,150.79264,3112
Kurraba Point,-36.3901,12217,149.4235,1521
Hillston,-33.481365,11912,145.534656,1465
Tinpot,-36.23167,13877,149.882895,9
Jaunter,-33.993635,12003,149.887663,12
North Gosford,-33.41684,12991,151.348821,3700
Coasters Retreat,-33.6048,10946,151.29883,44
Capeen Creek,-28.544132,10801,152.649342,5
Black Hollow,-31.107835,10386,148.862661,24
Moonbah,-36.494333,12698,148.551912,572
Upper Bingara,-30.05898,14014,150.644229,29
Snakes Plain,-31.776004,13565,147.760218,9
Bungarby,-36.64944,10681,149.002848,71
Duroby,-28.244816,11333,153.44385,58
Lake Illawarra,-34.546473,12250,150.85695,3163
Kyeamba,-35.458705,12225,147.615542,54
San Remo (NSW),-33.209738,13470,151.51616,4351
Shellharbour,-34.6017,13533,150.7374,3561
Woolners Arm,-28.694457,14407,152.83862,12
Mookima Wybra,-29.033871,12691,152.563922,31
Aratula (NSW),-35.511748,10071,145.051193,9
Goonoo Forest,-32.4363,11713,151.0675,10
Mandurama,-33.648855,12467,149.075273,355
Koonawarra,-34.502196,12187,150.807052,3667
Olinda (NSW),-32.796019,13082,150.167675,18
Illawong,-33.998018,11974,151.042591,7271
Back Creek (Mid-Coast - NSW),-31.9623,10125,152.0494,20
Mozart,-33.819672,12811,149.856164,56
Albert,-32.41586,10024,147.508111,81
Parklea,-33.728123,13153,150.923807,3465
Swansea Heads,-33.09521,13712,151.657053,614
Comara,-30.753004,10988,152.399864,15
Tarrawanna,-34.381864,13769,150.887815,2069
Thurgoona,-36.044475,13856,146.989961,8656
Arrawarra Headland,-30.059771,10089,153.202738,557
Tintenbar,-28.79659,13878,153.513163,822
Granville (NSW),-33.863022,11738,151.006224,15332
Yarras (Bathurst Regional - NSW),-33.3659,14480,149.6736,10
Nowley,-29.982046,13027,149.187347,70
Cartwrights Hill,-35.069754,10839,147.389575,189
Beloka,-36.539348,10281,148.746418,17
Coleambally,-34.805619,10964,145.882691,1331
Wilbetree,-32.479583,14289,149.568046,29
Boorook,-28.85927,10500,152.245747,33
Gleniffer,-30.386799,11668,152.901504,369
Glenwood (NSW),-33.737863,11682,150.922732,16130
Mylestom,-30.464762,12875,153.042817,344
Carcoar,-33.609622,10808,149.140601,301
Laughtondale,-33.410229,12281,151.024592,83
Banoon,-30.527226,10184,150.44311,25
Myrtle Park,-35.567714,12881,145.474356,51
Arncliffe,-33.936592,10086,151.146805,10590
Potts Point,-33.869026,13256,151.225603,9423
Noraville,-33.265942,12974,151.559914,2918
The Entrance,-33.326254,13818,151.511249,4006
Glen Davis,-33.134333,11646,150.147648,115
Woy Woy,-33.484478,14425,151.312108,10643
Riverstone,-33.679382,13368,150.861595,7247
Booragul,-32.976125,10495,151.60589,1281
Ashby Heights,-29.413743,10095,153.179387,232
Fairy Meadow,-34.399879,11484,150.891874,7405
Gradys Creek,-28.416476,11732,152.97769,47
Stonehenge (NSW),-29.8299,13665,151.7249,130
Bohena Creek,-30.439473,10444,149.66193,167
Roselands,-33.933167,13409,151.073197,11579
Tenterfield,-29.041657,13792,152.021335,4066
Cambewarra Village,-34.82309,10764,150.559835,1189
Warranulla,-32.214499,14164,152.150595,31
Brimbin,-31.850684,10572,152.4768,61
Lightning Ridge,-29.425724,12320,147.979236,2284
Pheasants Nest,-34.255973,13191,150.635599,688
Bowna,-35.964984,10534,147.130856,110
Upsalls Creek,-31.633347,14049,152.659543,118
Yamba (NSW),-29.437064,14458,153.361445,6076
Pitt Town,-33.596291,13226,150.841424,3033
Constitution Hill,-33.793,11014,150.975,3966
Cobargo,-36.38761,10951,149.887772,776
Lakesland,-34.18087,12258,150.526834,432
Colyton,-33.776657,10987,150.793433,8439
Murrawombie,-31.100101,12851,147.145087,9
Wilcannia,-31.558559,14290,143.377976,745
Stockinbingal,-34.506023,13660,147.879961,374
Green Creek,-31.775047,11747,151.037157,13
Repton,-30.438888,13352,153.022416,646
Hilldale,-32.503221,11906,151.65007,195
Nambucca Heads,-30.642442,12887,153.002886,6327
Croydon (NSW),-33.883163,11134,151.114771,10612
Pointer Mountain,-35.262656,13235,150.371989,9
Williamsdale,-35.575036,14298,149.187254,63
Gulargambone,-31.329692,11792,148.471189,591
Retreat (NSW),-30.6135,13354,151.0651,52
Lindesay Creek,-28.356197,12338,152.616692,21
Marulan,-34.76026,12513,150.03039,1178
Kulnura,-33.225924,12206,151.222101,607
Mullaway,-30.077053,12822,153.200245,567
Farringdon,-35.50848,11494,149.666101,14
Caddens,-33.771,10743,150.7327,1475
New Lambton,-32.932574,12942,151.690553,10048
Furracabad,-29.778195,11576,151.649581,42
Pipeclay,-31.439227,13224,152.552692,64
Maroota,-33.52308,12500,150.948575,617
Waterfall,-34.1352,14182,150.994957,494
Lilyfield,-33.872991,12325,151.165788,7616
Chinnock,-36.68983,10906,149.939048,22
Cheero Point,-33.514637,10895,151.195142,87
Canoelands,-33.508714,10794,151.061148,175
Jerrara,-34.669926,12017,150.818519,157
Barooga,-35.913566,10205,145.688503,1817
Woodside (NSW),-29.0615,14392,151.8232,45
Maimuru,-34.252818,12444,148.235113,137
Glenfield Park,-35.13891,11665,147.334699,5232
Bowman Farm,-31.925318,10532,151.920288,47
Winton (NSW),-31.079338,14336,150.763349,222
Windsor Downs,-33.667695,14326,150.803079,1179
Sextonville,-28.671958,13520,152.80548,24
South Wentworthville,-33.823892,13599,150.969376,6197
Jeremadra,-35.809125,12012,150.136599,168
North Dorrigo,-30.281126,12989,152.671483,189
Narwee,-33.948609,12912,151.069628,5618
Wakeley,-33.873966,14089,150.90888,4746
Warrell Creek,-30.770271,14170,152.892327,255
