city,code,Median weekly household income,lon,All private dwellings,Average people per household,lat,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Gum Scrub,11797,1375,152.726685,50,2.7,-31.271046,2113,270,1.8
Booerie Creek,10475,1053,153.259952,72,2.3,-28.776035,1300,170,2.2
Littleton,12360,1086,150.13517,379,2.2,-33.498267,1300,260,1.8
Pleasure Point,13229,2607,150.98764,161,3.5,-33.966909,3000,463,2.3
Georgica,11604,1029,153.168113,116,2.2,-28.621858,1200,168,1.7
Brunswick Heads,10621,844,153.548253,1071,2,-28.53899,1733,310,1.5
Cherrybrook,10898,2443,151.041806,6157,3.2,-33.722019,2500,650,2
Coolangatta (NSW),11026,2038,150.726361,126,3.2,-34.854208,1800,265,2.2
Aylmerton,10119,1520,150.492737,83,2.2,-34.419069,1894,398,2.2
Windellama,14318,814,149.872388,281,2.3,-35.025089,1733,75,2.1
Tuggerawong,13951,1204,151.476312,545,2.6,-33.280657,1733,300,1.8
Coomealla,11041,1013,142.0751,374,2.7,-34.0914,975,130,2
Bellmount Forest,10274,2750,149.24271,47,2.6,-34.917864,2300,390,2.6
Mossy Point,12741,1380,150.175923,432,2.3,-35.837391,1450,300,1.7
Beelbangera,10251,1368,146.100092,159,2.6,-34.257097,1380,231,2.3
Curramore (NSW),11174,1963,150.782884,71,2.7,-34.621117,2167,340,2.3
Ganmain,11585,935,147.038823,331,2.5,-34.794899,750,140,1.8
Marks Point,12492,955,151.646098,943,2.1,-33.055212,1680,285,1.5
Hinchinbrook (NSW),11915,1790,150.863863,3189,3.7,-33.916611,2000,450,2.2
Church Point,10915,2590,151.284352,429,2.6,-33.644873,3033,775,2.2
Smiths Creek (Tweed - NSW),13562,1014,153.3798,140,2.5,-28.4297,1300,275,1.9
Minore,12641,1517,148.455401,60,2.5,-32.259512,1842,0,2.2
Wandella (NSW),14128,860,149.848665,72,2.3,-36.299399,1000,0,2.3
Meroo Meadow,12579,1895,150.618378,197,2.7,-34.809874,2167,350,2.3
Thirlmere,13847,1562,150.571102,1456,2.8,-34.204088,2000,360,2.2
Deniliquin,11237,1063,144.958974,3787,2.2,-35.528544,1083,195,1.7
North Wagga Wagga,13014,1379,147.379424,291,2.6,-35.097097,1517,275,2.2
Dunoon,11325,1040,153.318543,305,2.4,-28.681929,1500,288,1.9
Lennox Head,12303,1577,153.593901,2847,2.6,-28.795715,1992,450,1.9
Aldavilla,10028,1125,152.768142,280,2.6,-31.058949,1300,250,2.1
Barraganyatti,10209,850,152.916973,66,2.6,-30.875913,1647,200,2.1
Hernani,11896,1449,152.420978,57,2.8,-30.342209,867,12,2.5
Clarence Town,10920,1578,151.779596,759,2.7,-32.583661,1733,280,2.3
Mount Elliot (NSW),12757,2463,151.385524,53,3.3,-33.399915,2700,0,2.6
Woolooware,14410,1978,151.141431,1549,2.7,-34.048276,2200,405,1.9
Urunga,14061,931,153.014883,1574,2.1,-30.497075,1517,273,1.6
Piggabeen,13202,1268,153.465229,115,2.9,-28.192191,1733,370,2.3
Queanbeyan East,13292,1328,149.244392,2131,2.1,-35.342808,1733,270,1.5
Meadowbank (NSW),12550,1704,151.090715,2229,2.1,-33.815912,2076,430,1.1
Crosslands,11127,1281,152.706362,206,3,-31.438993,1928,380,2
Primbee,13264,1190,150.881602,721,2.4,-34.500655,1842,263,1.8
Catherine Hill Bay,10857,1416,151.626395,111,2.5,-33.161795,2167,315,1.8
Marom Creek,12499,1458,153.372558,53,2.4,-28.902898,1387,300,2.2
Bucca (NSW),10625,1261,149.584181,211,2.9,-32.570896,1950,333,2.5
Talarm,13728,1160,152.819713,98,2.4,-30.701157,1300,225,2
The Rocks (Sydney - NSW),13840,3516,151.2081,586,1.9,-33.8588,3400,900,0.9
Waterview Heights,14186,1233,152.838233,500,2.7,-29.702381,1473,270,2.2
Walcha,14093,1071,151.402728,1284,2.3,-30.944669,1083,152,2
Kandos,12057,698,149.96946,734,2,-32.857495,867,190,1.5
Homebush West,11930,1635,151.069369,3206,2.8,-33.866788,2000,450,1.2
Blackett,10392,1018,150.811206,1206,3,-33.738507,1523,294,1.4
Wahroonga,14085,2584,151.118119,6027,2.9,-33.716405,3000,600,1.9
Tacoma,13724,1487,151.457044,214,3.2,-33.289592,1733,330,2.4
Wisemans Creek,14343,1178,149.718319,59,2.1,-33.618978,1300,0,2
Queanbeyan,13291,1405,149.7838,3240,2,-35.2308,1733,290,1.5
Black Hill (NSW),10385,2166,151.583655,197,2.9,-32.823598,2000,350,2.7
Clunes (NSW),10939,1383,153.405593,361,2.6,-28.729988,1733,395,1.9
Red Range,13333,937,151.832385,93,2.2,-29.794136,813,170,2.3
Krambach,12202,821,152.250244,191,2.3,-32.048174,1257,250,2
Chipping Norton,10908,1773,150.961662,3076,3,-33.916829,2167,450,2.1
Cudgera Creek,11144,1430,153.519525,126,2.9,-28.389956,2000,360,2.3
Hay (NSW),11874,1037,144.845099,1224,2.3,-34.500508,952,150,1.8
Crystal Creek (NSW),11138,1125,153.303819,107,2.7,-28.282291,1810,250,1.9
Greendale (Liverpool - NSW),11759,1666,150.6616,110,3.1,-33.9259,3200,360,2.5
Calala,10748,1520,150.946878,1461,2.7,-31.129764,1650,330,2
Ambarvale,10049,1287,150.803644,2534,3,-34.080467,1700,330,1.7
Bilbul,10349,1442,146.138176,216,2.9,-34.273406,1415,240,2.3
Pillar Valley,13204,779,153.12999,172,2.3,-29.76405,1246,150,2
Yarrawarrah,14485,2288,151.03279,940,3,-34.058462,2200,550,2.2
Waverley (NSW),14200,2138,151.252059,1818,2.3,-33.897955,3000,550,1.1
Tarbuck Bay,13762,792,152.478147,110,2.3,-32.368488,1275,225,1.6
Westdale (Tamworth Regional - NSW),14259,1410,150.854,963,2.9,-31.0891,1517,325,1.9
Mayfield (Newcastle - NSW),12530,1178,115.7092,4368,2.2,-33.2509,1698,320,1.5
Cowan,11097,1991,151.171015,219,3,-33.589491,2449,430,2.1
Mallanganee,12457,743,152.720585,87,2,-28.906449,650,165,1.6
Bonville,10474,1453,153.034867,943,2.9,-30.376052,1950,370,2.2
Kanoona,12066,1666,149.779989,46,3.1,-36.745803,1636,0,2.5
Kotara South,12201,1421,151.694264,463,2.6,-32.950811,1950,301,1.7
Newcastle,12949,1849,151.703024,1904,1.8,-32.890876,2167,450,1.3
Oakhampton,13056,1062,151.554468,67,2.3,-32.712551,2167,200,1.7
Stratford (NSW),13672,833,151.937941,83,2.3,-32.119279,920,200,1.9
Nowra Hill,13029,1772,150.575151,394,3.1,-34.933614,1900,285,2.7
Saratoga,13492,1638,151.354149,1537,2.8,-33.475692,2000,405,2
Doyalson,11286,1231,151.546219,115,2.9,-33.185292,1590,345,2
Brookfield (NSW),10596,1399,151.762128,87,2.4,-32.505586,1733,103,2.4
Wentworth Point,14227,1877,151.0777,3681,2.1,-33.8284,2100,510,1.4
Drake,11290,487,152.373562,217,1.8,-28.928936,446,123,1.6
Lake Wyangan,12255,1691,146.032567,312,3,-34.247507,1733,200,2.5
Malua Bay,12461,1137,150.232071,1382,2.3,-35.783334,1517,335,2
Newcastle East,12950,1523,151.788039,621,2,-32.927881,2600,335,1.3
Oatlands (NSW),13063,1922,151.026314,1940,3.1,-33.796298,2383,500,2
New Lambton Heights,12943,2295,151.690553,892,2.9,-32.932574,2054,400,2.1
Austinmer,10108,2031,150.934563,1016,2.7,-34.306283,2383,473,1.9
Goodooga,11702,758,147.452139,104,2.5,-29.113037,542,120,1.3
Hickeys Creek,11899,900,152.598291,69,2.4,-30.874838,1300,165,1.8
Enngonia,11426,1031,145.84617,61,2.3,-29.318123,1051,130,1.6
Warragoon,14159,1166,145.166984,53,2.6,-35.632619,1343,75,1.9
Greenhills Beach,11764,3731,151.1585,218,3.8,-34.0362,3900,1000,2.5
Regentville,13346,1804,150.669102,292,2.9,-33.773649,2300,380,2.1
Long Beach,12376,1230,150.234429,904,2.4,-35.698892,1600,350,2.1
Wentworthville,14228,1693,150.970183,4055,3,-33.805922,2000,410,1.5
Culburra Beach,11146,941,150.758745,2134,2.2,-34.930305,1517,290,1.7
Leura,12309,1164,150.330827,2519,2.1,-33.714149,1787,350,1.4
Corlette,11075,1281,152.106782,2480,2.5,-32.721158,1842,370,1.8
West Wallsend,14253,1276,151.582846,919,2.6,-32.902476,1625,335,1.9
North Haven (NSW),12992,741,152.81733,1064,1.9,-31.640002,1214,263,1.4
Oura,13102,1696,148.558038,80,2.8,-35.139376,1733,150,2.4
Mount Kuring-Gai,12772,2022,151.226792,601,3,-33.628729,2355,480,2
Warwick Farm,14177,980,150.932752,2641,2.4,-33.913423,1517,300,1.1
Coralville,11064,875,152.718136,68,2.8,-31.78274,1967,200,2
Ariah Park,10081,907,147.221222,247,2.3,-34.348105,650,115,2
Killawarra (NSW),12132,1062,152.297173,61,2.3,-31.902588,1551,250,2.7
Mortons Creek,12731,1375,152.649419,111,2.6,-31.390973,1723,280,2.4
Upper Horton,14029,756,150.4471,70,2.4,-30.14094,575,25,2.1
Murrami,12850,1262,146.30075,100,2.8,-34.426116,820,40,1.9
Jerrara,12017,2349,150.818519,48,3.3,-34.669926,3000,235,2.4
Niagara Park,12961,1482,151.355782,1049,2.7,-33.381996,1712,368,1.9
Yenda (NSW),14504,1266,146.195555,644,2.6,-34.24907,1264,185,2.1
Salt Ash,13467,1289,151.907238,425,2.7,-32.78874,1733,300,2.4
Middle Cove,12602,3250,151.207975,475,3,-33.794087,3467,923,1.9
Albion Park Rail,10026,1198,150.79575,2696,2.6,-34.560838,1700,320,1.9
Bulli,10662,1896,150.168638,2356,2.8,-34.344617,2288,318,1.9
Cooks Gap,11018,1096,149.717505,258,2.7,-32.378224,1600,240,2
Boat Harbour (Port Stephens - NSW),10425,1481,152.164,489,2.7,-29.4192,1950,400,2
Surfside,13698,910,150.198313,769,2.4,-35.700788,1452,280,1.7
Maitland (NSW),12449,1040,151.589963,870,2.2,-32.75112,1300,280,1.4
Argents Hill,10079,794,152.746326,100,2.3,-30.621952,867,175,2
Bossley Park,10515,1511,150.88415,4420,3.4,-33.86626,2000,440,2.1
Jewells,12024,1492,151.683174,937,2.6,-33.014125,1842,410,2.1
Upper Horseshoe Creek,14028,824,153.088352,45,3,-28.524575,932,220,1.8
Aberglasslyn,10009,1897,151.534607,1891,3,-32.694656,2007,380,2.1
Alstonville,10046,1069,153.44036,2591,2.3,-28.842125,1560,300,1.6
Old Bar,13073,917,152.585163,2072,2.3,-31.969037,1560,294,1.7
Cunningar,11164,1224,148.419171,65,2.2,-34.562125,1170,150,2.4
Bangalee (NSW),10173,1916,150.570381,261,2.5,-34.843976,2065,300,2.3
Brunkerville,10620,1281,151.478758,77,2.6,-32.948838,1875,236,2.4
Springdale (NSW),13621,1062,147.717295,56,2.5,-34.465713,1192,110,2
Blaxland (NSW),10407,1814,150.610076,2835,2.8,-33.744263,2058,390,1.9
Kimbriki,12139,1071,152.267063,60,2.3,-31.922826,1425,150,1.9
Rainbow Flat,13305,1267,152.468205,277,2.6,-32.009783,1733,400,2.2
Quialigo,13297,1471,149.743155,120,2.8,-34.929309,1688,298,2.3
Kapooka,12068,2173,147.295748,62,3.2,-35.14779,0,250,1.7
Wollstonecraft,14359,2422,151.196621,4283,2.1,-33.828158,2541,570,1.2
Jerrys Plains,12021,1525,150.904925,140,2.6,-32.491864,1766,113,2.1
Rushforth,13446,1303,152.900474,95,2.9,-29.743076,1777,340,2.1
Megalong Valley,12557,1145,150.2222,103,2.4,-33.7271,2167,250,2
North St Marys,13007,1097,150.781319,1452,2.7,-33.776502,1733,313,1.5
Leadville,12290,850,149.544871,80,2.4,-32.017507,780,60,2.1
Dunbible,11309,1291,153.401834,132,2.8,-28.382536,1938,235,2.1
Woongarrah,14415,1903,151.477239,1650,3.3,-33.246082,2167,470,2.1
Toowoon Bay,13916,949,151.496592,376,1.9,-33.35802,2600,300,1.5
Finley,11520,988,145.575436,1292,2.2,-35.645434,875,145,1.8
Kanahooka,12055,1212,150.808964,2224,2.5,-34.49448,1800,378,1.9
Swanhaven,13709,734,150.574812,141,2,-35.180764,1213,220,1.6
Wrights Beach,14428,1093,150.665252,72,2.4,-35.112035,1695,290,1.8
Denhams Beach,11236,1065,150.213231,410,2.2,-35.747722,1733,323,1.7
Medway,12555,1562,149.170568,56,2.6,-32.127033,1645,380,2.5
Yattalunga (NSW),14496,1468,151.360536,212,2.8,-33.470568,1800,395,2
Springrange,13625,2559,149.104756,100,3.2,-35.107791,2500,215,2.7
Douglas Park,11283,1943,150.712878,469,3,-34.193696,1976,350,2.5
Tapitallee,13755,2052,150.540433,244,2.7,-34.829514,1777,405,2.4
Burren Junction,10710,1014,148.965674,169,2.4,-30.105176,498,9,2.6
Gocup,11690,1792,148.184582,55,2.7,-35.2214,2167,200,2.4
Calderwood,10750,1895,150.707252,58,3,-34.552252,2587,250,2.9
Sandy Point (NSW),13487,2277,150.993967,215,2.9,-33.975419,2600,410,2.4
Kremnos,12204,871,152.982773,83,2.2,-29.945018,867,255,2
Duramana,11330,1513,149.532753,86,2.7,-33.267558,1733,150,2.5
Wyong Creek,14447,1589,151.363156,167,2.8,-33.270222,2229,350,2.4
Waratah West,14142,1119,151.711762,1216,2.5,-32.89879,1733,350,1.7
Lethbridge Park,12307,959,150.799824,1771,2.8,-33.736938,1500,290,1.4
Wattamondara,14190,1062,148.606068,97,2.2,-33.938468,910,125,2
South Wentworthville,13599,1469,150.969376,2157,3,-33.823892,2100,420,1.8
Greigs Flat,11775,1221,149.866268,68,2.4,-36.968353,2075,0,2.2
Meerschaum Vale,12556,1466,153.436069,149,2.7,-28.914194,1480,300,2.3
Grenfell,11776,841,148.161154,1322,2.1,-33.894985,975,144,1.8
Kellyville,12088,2564,150.92865,8714,3.4,-33.700104,2600,630,2.2
Niangala,12962,1337,151.365245,80,2,-31.342381,325,0,2.1
The Whiteman,13843,1281,152.877264,52,2.7,-29.610382,1517,290,2.2
Rileys Hill,13364,1274,153.406656,71,2.7,-29.013855,1625,290,2.2
Fletcher (NSW),11533,2296,151.637463,1621,3.4,-32.876573,2200,493,2.2
Boree Creek,10512,1034,146.61426,121,2.4,-35.106183,644,150,2.1
Quorrobolong,13302,1899,151.363966,197,2.7,-32.92247,2167,320,2.5
Coffs Harbour,10959,1019,153.131469,11832,2.3,-30.282731,1555,295,1.6
Wisemans Ferry,14344,954,150.980048,126,2,-33.408879,1500,250,1.7
Beaconsfield (NSW),10239,2330,151.20189,454,2.3,-33.911613,2455,623,1.3
South Maroota,13592,2052,150.948575,186,3.2,-33.52308,2131,400,2.6
Byangum,10729,1104,153.38515,56,2.3,-28.361173,1300,350,2
Twelve Mile Creek,13988,924,151.871462,93,2,-32.635386,937,225,1.7
Morpeth,12727,1111,151.626663,671,2.3,-32.724882,1733,310,1.8
Busby,10720,1026,152.810381,1380,3.3,-29.038162,1733,268,1.6
Silverwater (Parramatta - NSW),13547,1536,151.0452,913,2.8,-33.8341,2000,450,1.7
Gwandalan,11824,1258,151.587572,1493,2.6,-33.139561,1625,335,2
Mulwala,12830,1028,145.963942,1328,2.2,-35.954159,1343,220,1.7
Bunyah,10690,949,152.219204,89,2.3,-32.164248,1200,160,2
Limpinwood,12333,962,153.222706,104,2.2,-28.311619,1745,215,2.1
Bunyan,10691,1089,149.153753,75,2.4,-36.16963,1950,0,2.1
Coonamble,11044,1015,148.388448,1354,2.4,-30.954311,921,178,1.7
South Kempsey,13588,889,152.83255,978,2.6,-31.094228,1127,220,1.8
Camden Head,10771,900,152.83456,106,2.1,-31.646864,1441,340,1.6
Knockrow,12178,1218,153.534972,83,2.7,-28.768821,1500,380,2
Buronga,10696,1149,142.182794,607,2.4,-34.171443,1235,190,1.9
Watsons Bay,14187,2583,151.282368,336,2.5,-33.844806,2700,650,1.5
Picton (NSW),13200,1909,150.606454,1799,2.9,-34.185524,2167,340,2.2
Bellambi,10264,924,150.910756,1787,2.4,-34.365911,1842,215,1.4
Rye Park,13455,1149,148.907695,126,2.6,-34.519573,1300,148,2.8
Werri Beach,14233,1593,150.832547,301,2.7,-34.734083,2001,365,2
Sandy Beach,13479,1215,153.192117,929,2.7,-30.147985,1500,335,1.8
Mayrung,12537,1224,145.320415,66,2.3,-35.464979,0,0,2.2
Ravenswood (NSW),13321,816,147.847318,248,2.1,-31.699958,771,150,1.4
Lindendale,12336,1786,153.388534,88,2.6,-28.83593,2102,280,2.2
Tumblong,13963,1339,148.00974,88,2.3,-35.136655,1390,76,2.5
Canada Bay,10785,1989,151.116398,513,2.6,-33.863194,2500,500,1.7
Tanja,13749,1062,149.933291,97,2.2,-36.627881,1307,185,1.7
Leppington,12305,1634,150.81727,1239,3,-33.964333,2518,485,2.3
Gilgai,11618,944,151.117347,285,2.6,-29.852316,1083,220,2.2
Corrimal,11082,1230,150.91118,2889,2.4,-34.376363,2000,310,1.7
Nyngan,13049,1078,147.192356,1055,2.3,-31.562487,1083,175,1.7
Zetland,14524,1758,151.206234,5122,2.2,-33.909938,2200,650,1
Manly (NSW),12475,2449,151.269339,8441,2.2,-33.775702,2882,650,1.2
Sawyers Gully,13499,1569,151.437112,176,2.8,-32.769359,1831,430,2.8
Rosedale (NSW),13407,1192,150.219889,263,2.4,-35.818606,2084,225,2.1
Woodburn (Richmond Valley - NSW),14379,1005,153.3559,321,2.5,-29.0963,1276,250,1.8
North Star,13008,1297,150.391368,139,2.5,-28.93259,309,0,2.4
Lake Munmorah,12253,1004,151.57042,2358,2.4,-33.194148,1600,320,1.8
Cumnock,11159,953,148.754509,232,2.5,-32.927818,910,100,2
Fishing Point,11526,1355,151.590191,487,2.4,-33.050652,2000,400,2
Kincumber South,12142,645,151.381035,442,1.6,-33.487271,1713,200,1.2
Marrickville,12504,1814,151.151568,11304,2.5,-33.915178,2383,450,1.2
Frog Rock,11570,1093,149.686857,65,2.6,-32.476946,1993,290,2.3
Lemon Tree Passage,12300,983,152.039551,1334,2.2,-32.730927,1517,325,1.7
Cedar Party,10870,1083,152.3901,165,2.4,-31.796941,1300,190,2
Caringbah South,10816,2180,145.4212,4456,2.9,-16.1846,3000,620,2.1
Farley,11490,1895,151.512185,84,2.7,-32.729063,2113,335,2.5
North Macksville,12995,904,152.921564,290,2.3,-30.70403,1300,253,1.6
Lavington,12287,933,146.933346,6021,2.2,-36.050577,1300,210,1.5
Eumungerie,11456,836,148.626363,152,2.2,-31.951112,1192,130,2.1
Goonengerry,11712,846,153.439674,191,2.3,-28.61079,1333,300,2
Five Dock,11530,2077,151.130136,3911,2.6,-33.866368,2617,550,1.6
Wingham,14332,912,152.374242,2313,2.4,-31.869046,1245,250,1.7
Jannali,12001,1784,151.065081,2400,2.7,-34.017074,2340,380,1.6
Rocky Point (NSW),13388,1410,151.471707,108,2.8,-33.294922,1733,350,1.9
Huntley (Orange - NSW),11958,1958,149.1249,65,2.7,-33.3696,1650,325,2.8
Black Springs (NSW),10389,1312,149.711027,124,2.6,-33.840966,1343,90,2.3
Tennyson (NSW),13789,1963,150.736946,135,2.7,-33.536388,2709,350,2.7
Miranda (NSW),12645,1573,151.100428,6374,2.5,-34.034014,2226,440,1.6
Goolmangar,11708,1215,153.225916,69,2.6,-28.747167,1343,295,1.8
Morven (Greater Hume Shire - NSW),12737,1281,147.1565,62,2.5,-35.6466,1268,155,2.7
Kirrawee,12172,1709,151.071196,3694,2.6,-34.033743,2400,420,1.7
Hamilton East,11839,1792,151.754137,398,2.6,-32.929301,2221,350,1.7
Bowning,10535,1389,148.814699,251,2.3,-34.7679,1517,200,2.3
Wongawilli,14374,2055,150.758765,44,3.1,-34.480002,2000,0,2.5
Tomerong,13894,1354,150.587068,440,2.7,-35.052034,1733,230,2.2
Colebee,10965,2787,150.866046,651,3.4,-33.730647,3000,650,2.2
Hallsville,11835,1519,150.88197,207,2.7,-31.025229,1733,248,2.5
Buchanan (NSW),10628,1812,151.529302,63,2.9,-32.825353,2084,200,2.9
Nevertire,12936,1458,147.718723,78,2.4,-31.838854,650,100,2.5
Blakebrook,10402,1083,153.243037,55,2.6,-28.765492,1751,283,2.2
Cowra,11099,966,148.691192,4647,2.3,-33.83468,1200,190,1.7
Casula,10852,1584,150.909367,5103,3.2,-33.950422,2167,420,2
Mullaley,12820,1024,149.908463,78,2.3,-31.098523,800,118,2
Carool,10822,1281,153.419146,82,2.9,-28.230291,2084,295,2.5
Turrella,13982,1789,151.140643,869,3.1,-33.929963,2200,570,1.4
Sydenham (NSW),13714,1861,151.166104,464,2.5,-33.915222,2500,550,1.1
Soldiers Point,13570,1112,152.064758,994,2.2,-32.710492,1800,350,1.7
Gelston Park,11597,2166,147.33784,45,2.6,-35.233266,2200,0,2.9
Shellharbour City Centre,13534,762,150.836628,92,1.8,-34.564922,2102,108,1.1
Watagan,14180,817,151.2078,103,1.9,-33.0105,1863,218,1.8
Moonan Flat,12697,1020,151.235462,80,2,-31.926434,1650,0,2.1
Arding,10075,1281,151.556745,91,2.5,-30.588547,1560,150,2.1
Glengarrie,11666,512,153.402315,188,1.9,-28.229223,1400,120,1.7
Castlereagh,10850,1910,150.67655,358,3.3,-33.668796,2400,360,2.9
Bundarra,10671,773,151.075836,328,2.4,-30.17137,797,150,2.1
Freshwater (NSW),11569,2268,153.349022,3772,2.5,-29.35729,2600,530,1.6
Caves Beach,10862,1407,151.640147,1661,2.7,-33.108212,1950,360,1.9
Edgecliff,11379,2198,151.235106,1442,1.9,-33.878586,3027,600,1
Barrack Point,10208,1342,150.867375,305,2.5,-34.563249,2167,340,2
Revesby,13355,1516,151.007296,5122,2.9,-33.943582,2167,400,1.7
Dalmeny,11191,901,150.131434,1091,2.2,-36.171034,1300,240,1.7
Jamisontown,12000,1385,150.67951,2374,2.4,-33.766193,1890,360,1.6
Kains Flat,12049,942,149.836857,91,2.3,-32.465595,1517,231,2
Windsor (NSW),14325,1422,150.817481,775,2.6,-33.608814,1939,340,1.8
Kungala,12212,1145,152.999301,68,2,-29.944587,968,233,2.2
Reidsdale,13348,1187,149.845446,72,2.4,-35.589709,1542,250,2.1
Cecil Hills,10865,2137,150.853171,1938,3.7,-33.883696,2167,500,2.5
Sandy Hollow,13486,1199,150.566792,94,2.2,-32.33475,1257,205,2
Tullibigeal,13957,1031,146.728083,144,2.4,-33.420093,800,80,2.7
Emerton,11413,1072,150.808263,792,3,-33.742855,1500,310,1.5
Kurri Kurri,12221,991,151.482952,2594,2.4,-32.817312,1378,280,1.7
Sedgefield,13514,2083,151.244895,57,3,-32.54412,2167,0,2.7
Wombarra,14363,2181,150.954245,391,2.7,-34.277848,2600,495,2
Holgate,11921,2602,151.405406,304,3.2,-33.409747,2500,385,2.5
Vaucluse,14071,2741,151.278434,3766,2.8,-33.859047,3467,650,1.9
Mitchell (NSW),12650,658,149.564408,151,1.7,-33.432706,1344,190,1.1
Ruse,13443,1641,150.844069,2012,2.9,-34.069283,1800,400,2
Gundy,11809,1399,150.996749,87,2.7,-32.014475,1997,300,2.3
Point Piper,13233,3644,151.252329,713,2.4,-33.870083,4000,850,1.7
Spencer,13607,812,151.142385,176,1.9,-33.459455,1200,250,1.5
Yatte Yattah,14497,1428,150.421,86,2.5,-35.267,2000,265,2.5
Cambewarra,10763,1937,150.559835,107,2.6,-34.82309,2334,350,2.6
Dural (Hornsby - NSW),11328,2164,151.0415,2608,3.1,-33.6851,2600,550,2.3
Wallagoot,14103,1152,149.917603,222,2.4,-36.788248,1366,290,2
Peel,13174,1687,149.615645,111,2.9,-33.290006,1997,138,2.5
Walla Walla,14097,1096,146.901019,344,2.3,-35.766734,1040,160,2.1
Ashbury,10093,2157,151.11932,1162,3.1,-33.901897,2500,560,1.8
Stanbridge,13646,1053,146.235644,84,2.6,-34.517721,1292,85,2.7
Woodford (NSW),14383,1586,150.479149,800,2.6,-33.735174,1733,350,1.8
Spring Grove,13614,1271,153.155733,159,2.9,-28.833066,1588,280,2.3
Alectown,10029,1312,148.257653,91,2.3,-32.933075,1430,110,2.3
The Junction,13827,1582,151.759625,527,2.2,-32.937528,2167,350,1.6
Dulwich Hill,11303,1809,151.138774,6279,2.3,-33.904689,2167,450,1.2
Gooloogong,11709,900,148.41385,205,2.5,-33.650848,975,120,2.2
Upper Lansdowne,14033,973,152.47486,249,2.5,-31.702433,1233,250,2.1
Tucki Tucki,13946,1575,153.327739,61,3,-28.908813,1918,318,2.8
Bocoble,10432,880,149.724411,58,2.5,-32.798969,1287,0,1.9
Clarenza,10922,1465,152.988368,214,2.7,-29.697238,1604,250,2.3
North Narooma,12998,1039,150.119086,365,2.2,-36.202678,1300,250,1.8
Picnic Point,13199,2015,151.000056,2168,3,-33.979303,2349,525,2.1
Sefton,13516,1276,151.011469,1876,3.3,-33.885501,2000,400,1.8
Mount Colah,12750,2268,151.117161,2421,3.1,-33.664817,2400,545,2.1
Middle Dural,12603,2576,151.021276,316,3.3,-33.648471,2500,470,2.8
Tullera,13956,1357,153.301109,109,2.6,-28.744755,1415,290,2.4
King Creek,12145,1582,152.75192,540,3,-31.482454,1950,368,2.3
Flinders (NSW),11534,1783,150.844828,2362,3,-34.579836,2167,435,2
Emmaville,11414,768,151.598632,306,2.2,-29.443987,867,133,1.8
Hillville,11913,1208,152.350683,121,2.6,-31.949663,1560,250,2.2
Blue Knob,10416,604,153.198679,143,1.8,-28.560977,1170,210,1.3
East Lindfield,11357,3047,151.186095,1252,3.1,-33.766415,3500,975,2
Middle Brook,12600,1625,150.802501,95,2.8,-31.934061,2100,302,2.5
Killcare,12133,1316,151.370994,398,2.2,-33.52257,2000,379,1.7
Pottsville,13257,1281,153.56855,2736,2.7,-28.379066,1950,395,1.8
Toronto,13918,1018,151.593162,2503,2.3,-33.01329,1500,280,1.6
Elizabeth Hills,11397,2003,150.8483,750,3.6,-33.9002,2500,540,2.1
Shoalhaven Heads,13540,842,150.745254,1703,2.1,-34.85145,1733,300,1.5
Mongarlowe,12678,949,149.922833,80,2,-35.422218,1581,98,2
Maison Dieu,12448,2091,151.094293,57,2.9,-32.535177,2600,260,2.5
Frederickton,11561,1003,152.878933,495,2.7,-31.037762,1170,250,1.9
Table Top,13722,2131,147.000325,483,3.1,-35.98027,1950,200,2.6
Greenfield Park,11761,1489,150.889408,1431,3.7,-33.872187,1950,448,2.1
Wooloweyah,14411,1305,153.342381,189,2.3,-29.483013,1733,345,1.8
Kentucky South,12103,788,151.440954,58,2.3,-30.803987,1274,110,1.9
Merah North,12572,1437,149.215721,71,2.9,-30.145758,0,0,2.3
Mungindi (NSW),12843,1229,149.100731,356,2.4,-28.999013,672,100,1.7
North Avoca,12980,2215,151.435833,1026,2.8,-33.459007,2210,460,2.1
Yagoona,14453,1203,151.037007,5947,3.2,-33.918726,2000,380,1.8
Bilpin,10358,1455,150.522195,293,2.6,-33.498253,1950,275,2.3
Whalan,14266,1008,150.809528,2149,2.9,-33.760165,1517,270,1.4
Grose Vale,11785,2128,150.672944,405,3.2,-33.584089,2367,405,2.7
Nethercote,12932,1273,149.828723,142,2.6,-37.01779,1400,318,2.3
Bowen Mountain,10528,1724,150.627819,563,2.9,-33.573871,2000,390,2.2
Phillip Bay,13193,2139,151.236692,239,3.2,-33.980556,2600,170,2
Marshall Mount,12507,1812,150.745585,49,2.7,-34.545128,3900,250,2.3
Castle Doyle,10846,1625,151.75801,58,2.7,-30.586704,1600,335,2.4
Rhodes,13358,1693,151.088105,5380,2.4,-33.830764,2200,620,1.1
Bungarribee,10682,2560,145.0383,719,3.8,-37.753,2800,593,2
Tarrawanna,13769,1104,150.887815,853,2.5,-34.381864,2080,258,1.7
Buff Point,10645,1104,151.535266,1517,2.5,-33.238196,1591,330,1.8
Lidcombe,12316,1571,151.047419,6382,3.2,-33.854197,2100,470,1.6
Heatherbrae,11884,841,151.732386,281,1.9,-32.787426,1083,268,1.9
