city,code,Median weekly household income,lon,All private dwellings,Average people per household,lat,Median monthly mortgage repayments,Median weekly rent,Average motor vehicles per dwelling
Cobargo,10951,760,149.887772,387,2.2,-36.38761,989,200,1.8
Lakesland,12258,2125,150.526834,153,3.2,-34.18087,2359,493,2.8
Bellingen,10273,1032,152.897966,1639,2.5,-30.446069,1430,320,1.6
Wilcannia,14290,989,143.377976,331,2.8,-31.558559,405,110,1.4
Martins Creek,12511,1446,151.612337,141,2.8,-32.555529,1733,280,2.3
Repton,13352,1208,153.022416,294,2.4,-30.438888,1580,318,2
Nambucca Heads,12887,735,153.002886,3523,2,-30.642442,1213,240,1.4
Bawley Point,10235,1025,150.393202,711,2.1,-35.522387,1300,280,1.8
Gulargambone,11792,788,148.471189,346,2.3,-31.329692,600,141,1.6
Darlinghurst,11212,2158,151.21956,6769,1.8,-33.879825,2500,560,0.7
Marulan,12513,1143,150.03039,582,2.6,-34.76026,1517,280,2.1
Kulnura,12206,1544,151.222101,250,2.9,-33.225924,2000,230,2.5
Mullaway,12822,1228,153.200245,243,2.5,-30.077053,1600,320,2
Caddens,10743,2190,150.7327,400,3.1,-33.771,2600,500,1.9
New Lambton,12942,1449,151.690553,4444,2.4,-32.932574,1842,340,1.6
Fernmount,11509,1303,152.959265,165,2.5,-30.468067,1500,270,2.1
Maroota,12500,1761,150.948575,220,3,-33.52308,2200,275,2.6
Waterfall,14182,1837,150.994957,175,2.9,-34.1352,2156,450,2.1
Lilyfield,12325,2310,151.165788,3244,2.5,-33.872991,3000,498,1.4
Maimuru,12444,1303,148.235113,61,2.7,-34.252818,1300,120,2.4
Glenfield Park,11665,1395,147.334699,2157,2.5,-35.13891,1500,300,1.8
Kilaben Bay,12125,1798,151.587294,592,2.6,-33.024534,1950,370,2.2
Winton (NSW),14336,1437,150.763349,100,2.4,-31.079338,2029,0,2.4
Windsor Downs,14326,2458,150.803079,367,3.3,-33.667695,2167,475,3.1
Yellow Rock (Shellharbour - NSW),14503,1875,150.7374,70,3.5,-34.6017,1600,503,3.4
Ashford (NSW),10099,791,151.096081,327,2.2,-29.321245,650,150,1.9
Jeremadra,12012,1028,150.136599,78,2.6,-35.809125,1294,130,2.1
Wakefield,14088,1875,151.560504,46,2.9,-32.956584,1733,255,2.3
Narwee,12912,1308,151.069628,2137,2.8,-33.948609,2167,350,1.4
Wakeley,14089,1404,150.90888,1438,3.4,-33.873966,1950,420,2
Warrimoo,14174,2097,150.604162,893,2.9,-33.722958,2000,398,2
Bateau Bay,10227,1245,151.479104,5122,2.5,-33.381213,1820,340,1.8
Terara,13795,900,150.627436,128,1.7,-34.865447,854,200,1.5
Bexley,10334,1556,151.117388,6746,2.9,-33.959548,2167,450,1.7
Birrong,10379,1373,151.022398,998,3.2,-33.89022,1948,430,1.7
Robertson (NSW),13374,1422,150.596418,870,2.5,-34.589237,1794,350,2
Garden Suburb,11587,1856,151.683365,664,2.9,-32.948355,1950,410,2.1
